SenderMinPostalCode,SenderMaxPostalCode,ReceiverMinPostalCode,ReceiverMaxPostalCode,Zone,,,
A0S,A0S,Version: 2023/09/11,Version: 2023/09/11,,,,
A1A,A1C,Version: 2023/09/11,Version: 2023/09/11,,,,
A1E,A1E,Version: 2023/09/11,Version: 2023/09/11,,,,
A1G,A1H,Version: 2023/09/11,Version: 2023/09/11,,,,
A1L,A1L,Version: 2023/09/11,Version: 2023/09/11,,,,
A1N,A1N,Version: 2023/09/11,Version: 2023/09/11,,,,TEST
A0S,A0S,A0A,A0A,D6,,,
A1A,A1C,A0A,A0A,D6,,,
A1E,A1E,A0A,A0A,D6,,,
A1G,A1H,A0A,A0A,D6,,,
A1L,A1L,A0A,A0A,D6,,,
A1N,A1N,A0A,A0A,D6,,,
A0S,A0S,A0B,A0B,D6,,,
A1A,A1C,A0B,A0B,D6,,,
A1E,A1E,A0B,A0B,D6,,,
A1G,A1H,A0B,A0B,D6,,,
A1L,A1L,A0B,A0B,D6,,,
A1N,A1N,A0B,A0B,D6,,,
A0S,A0S,A0C,A0C,D6,,,
A1A,A1C,A0C,A0C,D6,,,
A1E,A1E,A0C,A0C,D6,,,
A1G,A1H,A0C,A0C,D6,,,
A1L,A1L,A0C,A0C,D6,,,
A1N,A1N,A0C,A0C,D6,,,
A0S,A0S,A0E,A0E,D6,,,
A1A,A1C,A0E,A0E,D6,,,
A1E,A1E,A0E,A0E,D6,,,
A1G,A1H,A0E,A0E,D6,,,
A1L,A1L,A0E,A0E,D6,,,
A1N,A1N,A0E,A0E,D6,,,
A0S,A0S,A0G,A0G,D6,,,
A1A,A1C,A0G,A0G,D6,,,
A1E,A1E,A0G,A0G,D6,,,
A1G,A1H,A0G,A0G,D6,,,
A1L,A1L,A0G,A0G,D6,,,
A1N,A1N,A0G,A0G,D6,,,
A0S,A0S,A0H,A0H,D6,,,
A1A,A1C,A0H,A0H,D6,,,
A1E,A1E,A0H,A0H,D6,,,
A1G,A1H,A0H,A0H,D6,,,
A1L,A1L,A0H,A0H,D6,,,
A1N,A1N,A0H,A0H,D6,,,
A0S,A0S,A0J,A0J,D6,,,
A1A,A1C,A0J,A0J,D6,,,
A1E,A1E,A0J,A0J,D6,,,
A1G,A1H,A0J,A0J,D6,,,
A1L,A1L,A0J,A0J,D6,,,
A1N,A1N,A0J,A0J,D6,,,
A0S,A0S,A0K,A0K,D6,,,
A1A,A1C,A0K,A0K,D6,,,
A1E,A1E,A0K,A0K,D6,,,
A1G,A1H,A0K,A0K,D6,,,
A1L,A1L,A0K,A0K,D6,,,
A1N,A1N,A0K,A0K,D6,,,
A0S,A0S,A0K (Air Stage/Omnibus),A0K (Air Stage/Omnibus),J1,,,
A1A,A1C,A0K (Air Stage/Omnibus),A0K (Air Stage/Omnibus),J1,,,
A1E,A1E,A0K (Air Stage/Omnibus),A0K (Air Stage/Omnibus),J1,,,
A1G,A1H,A0K (Air Stage/Omnibus),A0K (Air Stage/Omnibus),J1,,,
A1L,A1L,A0K (Air Stage/Omnibus),A0K (Air Stage/Omnibus),J1,,,
A1N,A1N,A0K (Air Stage/Omnibus),A0K (Air Stage/Omnibus),J1,,,
A0S,A0S,A0L,A0L,D6,,,
A1A,A1C,A0L,A0L,D6,,,
A1E,A1E,A0L,A0L,D6,,,
A1G,A1H,A0L,A0L,D6,,,
A1L,A1L,A0L,A0L,D6,,,
A1N,A1N,A0L,A0L,D6,,,
A0S,A0S,A0M,A0M,D6,,,
A1A,A1C,A0M,A0M,D6,,,
A1E,A1E,A0M,A0M,D6,,,
A1G,A1H,A0M,A0M,D6,,,
A1L,A1L,A0M,A0M,D6,,,
A1N,A1N,A0M,A0M,D6,,,
A0S,A0S,A0N,A0N,D6,,,
A1A,A1C,A0N,A0N,D6,,,
A1E,A1E,A0N,A0N,D6,,,
A1G,A1H,A0N,A0N,D6,,,
